Institution,CDS_Year,AcceptanceRate_FTFY,Yield_FTFY,FY_Retention,4yrGradRate_Total,5yrGradRate_Total,6yrGradRate_Total,4yrGradRate_Pell,5yrGradRate_Pell,6yrGradRate_Pell,4yrGradRate_SubsidizedNoPell,5yrGradRate_SubsidizedNoPell,6yrGradRate_SubsidizedNoPell,4yrGradRate_Neither,5yrGradRate_Neither,6yrGradRate_Neither,StickerCOA,COA_YoY_Change,COA_5yr_CAGR,AvgPackage_Freshmen,AvgNeedGrant_Freshmen,PctNeedMet_Freshmen,EstNetPrice_AidedFreshmen,PctClasses_Under20,PctClasses_50plus,StudentFacultyRatio,Transfer_AcceptRate,Transfer_Yield,DiversityPct_Nonresident aliens,DiversityPct_Hispanic/Latino,"DiversityPct_Black or African American, non-Hispanic","DiversityPct_White, non-Hispanic","DiversityPct_American Indian or Alaska Native, non-Hispanic","DiversityPct_Asian, non-Hispanic","DiversityPct_Native Hawaiian or other Pacific Islander, non-Hispanic","DiversityPct_Two or more races, non-Hispanic",DiversityPct_Race/ethnicity unknown,PctSubmitting_SAT,PctSubmitting_ACT,SAT_EBRW_25,SAT_EBRW_75,SAT_Math_25,SAT_Math_75,ACT_Composite_25,ACT_Composite_75,PctHSRank_Top10,PctHSRank_Top25,PctHSRank_Top50,PctHSRank_Submitted,AvgHS_GPA_All,PctHS_GPA_Submitted,Tuition,Fees,Room,Board,AvgAidPackage_Freshmen
Harvard,2020-2021,0.05006459948,0.6982630273,0.75,0.8593086719,0.9593693147,0.9763493026,0.8130081301,0.9430894309,0.9715447154,0.9285714286,0.9285714286,0.9285714286,0.8668106551,0.962562995,0.9776817855,74528,,,62338,60745,1,13783,0.7632135307,0.100422833,5,0.01235465116,0.8823529412,0.1198774416,0.1204519341,0.1129835312,0.3312906932,0.002297970126,0.2271160475,0.0007659900421,0.07104557641,0.01417081578,0.72,0.45,720,780,740,800,33,35,0.94,0.98,0.996,0.39,4.22,0.9502,51143,4444,11705,7236,62338
Harvard,2021-2022,0.04011352231,0.8416738568,0.96,,,0.967430639,,,0.939393939,,,1,,,0.9725235,76763,,,,,1,,0.7061143984,0.1114398422,7:1,0.008175779254,0.875,0.1305745841,0.1161750315,0.09296798546,0.3541171536,0.00223682371,0.2173913043,0.0009786103733,0.07437438837,0.01118411855,0.54,0.31,730,780,750,800,33,36,0.931,0.989,0.997,0.31,4.2,0.9974,52659,4602,12056,7446,62252
Harvard,2022-2023,0.03240718054,0.8296370968,0.98,,,0.97769741,,,0.96825397,,,1,,,0.97921147,79450,,,,,1,,0.7061657033,0.1252408478,7:1,0.008645533141,0.8,0.1383977901,0.1178176796,0.09185082873,0.3370165746,0.002762430939,0.2243093923,0.00138121547,0.07555248619,0.01091160221,0.55,0.28,730,780,760,800,34,36,0.922,0.976,0.998,0.3,4.2,0.997,54269,4807,12424,7950,67898
Harvard,2023-2024,0.03451182886,0.8371501272,0.99,0.6591448931,0.283847981,0.03206650831,0.719858156,0.2234042553,0.01773049645,0.6923076923,0.3076923077,0,0.6465082793,0.2958963283,0.03527717783,82866,,,70478,67949,1,12388,0.7339366516,0.1158371041,7:1,0.00792811839,0.9333333333,0.1394789012,0.1169640329,0.09459076749,0.3181818182,0.00325686774,0.2370433305,0.00127442651,0.07703200227,0.0121778533,0.52,0.22,740,780,760,800,34,36,0.944,0.9938,0.9979,0.29,4.2,0.994,56550,5126,12922,8268,70478
Harvard,2024-2025,0.036476,0.836041,0.98,0.556806,0.942712,0.975829,0.643564,0.90759,0.946866,0.285714,1,1,0.538787,0.951692,0.980045,86926,,,74387,73497,1,13429,0.717164,0.115672,7:1,0.007092,0.8125,0.156758,0.11458,0.08927,0.296825,0.00341,0.234613,0.001563,0.076963,0.026296,0.54,0.19,740,780,770,800,34,36,0.94,0.99,1,0.29,4.21,0.9921,59320,5476,13532,8598,74387
Brown,2020-2021,0.07669937216,0.6204819277,0.916,0.838150289,0.09826589595,0.9524727039,0.7896551724,0.1137931034,0.924137931,0.88,0.08,0.972,0.8416912488,0.09832841691,0.9557522124,78668,0,0,56474,54823,1,23845,0.6977964323,0.1133263379,6:1,0.03532490188,0.6790123457,0.1188162544,0.1096878681,0.07096584217,0.4082744405,0.003533568905,0.1822732627,0.001472320377,0.06154299176,0.04343345112,0.7,0.43,710,770,730,790,33,35,0.987,1,1,0.23,,,60944,1360,10054,6310,56474
Brown,2021-2022,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,2022-2023,0.05058342712,0.6701795472,0.987,0.854154214,0.0747160789,0.949790795,0.7747747748,0.09009009009,0.9009009009,0.8821292776,0.06463878327,0.9619771863,0.8627946128,0.07407407407,0.9562289562,84728,,,62234,59928,1,24800,0.6822276822,0.1179361179,6:1,0.05359661495,0.6776315789,0.136667103,0.112841995,0.07788977615,0.3637910721,0.003534494044,0.1816991753,0.001701793428,0.07409346773,0.04778112318,0.54,0.27,730,780,760,800,34,36,0.93,0.97,1,0.222,,,65656,2474,9650,6948,62234
Brown,2023-2024,0.052342,0.63105,0.985,0.8022,0.9388,0.9571,0.7749,0.9004,0.9307,0.8176,0.9392,0.9527,0.8038,0.9467,0.9638,88756,,,67872,63523,1,25233,0.6691,0.1249,6:1,0.04153,0.657895,0.132,0.1165,0.0818,0.3386,0.26,0.1944,0.13,0.0762,0.0566,0.54,0.22,740,770,760,800,34,35,0.92,0.99,1,0.28,,,68612,2700,9940,7504,67872
Brown,2024-2025,0.053942,0.65163,0.988,0.7711,0.9369,0.9569,0.7411,0.8973,0.9196,0.7375,0.9188,0.9438,0.7807,0.9462,0.9652,93064,0.0485,,68926,65370,1,27694,0.6769,0.1266,6:1,0.071979,0.674419,0.1351,0.1125,0.0753,0.3035,0.19,0.2121,0.1,0.0737,0.0847,0.61,0.24,740,780,770,800,34,35,0.89,0.98,1,0.306,,,71700,2850,10410,8104,68926
Columbia,2020-2021,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia,2021-2022,0.0373,0.54,0.93,0.7209,0.2209,0.0233,0.8889,0,0.1111,0,0.1,0,0.7105,0.2368,0.0132,78980,,,25584,20293,0.497,70805,0.5715,0.1445,6:1,0.5789,0.5414,,,,,,,,,,26,17,670,740,710,800,32,34,,,,,,,60420,2818,15750,5310,25584
Columbia,2022–2023,0.0383,0.5168,0.94,0.7736,0.0849,0.0566,0.5,0.125,0.25,0.5,0.3333,0,0.8152,0.0652,0.0435,81680,,,,39465,0.614,55942,,,6:1,0.5623,0.5554,,,,,,,,,,,,703,750,763,790,32,34,,,,,,,63060,3425,16425,5580,42457
Columbia,2023–2024,0.0399,0.5584,0.89,0.7449,0.1122,0.051,0.5,0.1,0,1,0,0,0.7701,0.1149,0.0575,85200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65640,3058,13743,6885,27570
Columbia,2024-2025,0.0386,0.4901960784,0.98,0.5625,0.9196428571,0.9464285714,0.3333333333,0.5,0.6666666667,1,1,1,0.5714285714,0.9428571429,0.9619047619,88750,,,46800,43584,0.73,53231,0.5756981872,0.137677609,6:1,0.5240601504,0.5882352941,0.2050414666,0.150698385,0.0735486687,0.2810999564,0.002509821039,0.1834351811,0.001855085116,0.06132693147,0.04048450458,0.17,0.08,710,750,750,780,33,34,,,,,,,68280,555,14706,5958,46800
Cornell,2020-2021,0.107,0.5892,0.96,0.8883,0.9415,0.9536,0.8199,0.9151,0.9379,0.8929,0.9334,0.9481,0.9026,0.9499,0.9589,77461,,,52017,47574,100,25444,0.6246,0.1351,0.0871,0.184,0.7672,0.0972,0.1464,0.0717,0.3474,0.0024,0.2083,0.0011,0.0501,0.0755,0.73,0.36,680,750,720,790,32,35,0.837,0.979,0.999,0.223,,,60286,729,9962,6484,52017
Cornell,2021-2022,0.08685069754,0.6353383459,0.97,0.8815001576,0.9366530098,0.9476835802,0.8078512397,0.8842975207,0.9090909091,0.8664259928,0.9350180505,0.9458483755,0.9021077283,0.9489461358,0.9569086651,80288,,,55604,51026,1,24684,0.5467068446,0.1907016789,9:1,0.1572444144,0.7050592034,0.1004966781,0.1473908276,0.07282461459,0.3396116881,0.002773656712,0.2160872089,0.001225569245,0.0529574921,0.06663226472,0.41,0.2,700,760,750,800,33,35,0.842,0.965,0.996,0.223,,,62456,744,10426,6662,55604
Cornell,2022-2023,0.0692098814,0.675503096,0.9689,,,0.9528,,,,,,,,,,83196,,,,,,,,,,,,,,,,,,,,,,,710,770,750,800,33,35,0.82,0.96,1,0.194,,,65204,810,11562,6992,59644
Cornell,2023-2024,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,2024-2025,0.0847296819,0.6601343785,0.98,0.8711031175,0.9385491607,0.9514388489,0.8122605364,0.9003831418,0.9291187739,0.8692307692,0.9384615385,0.9492307692,0.8858595194,0.9477818854,0.9574861368,88742,,,62442,59302,1,29440,0.5428812843,0.1905365441,9,0.1267284607,0.7601918465,0.09470124014,0.1447898212,0.07497181511,0.3217104204,0.002013206636,0.2457722661,0.001288452247,0.0537928813,0.06095989692,0.42,0.14,,,,,,,0.817,0.945,0.995,0.173,,,68380,934,12296,7132,62442
Dartmouth,2020-2021,0.0922,0.536,0.961,0.8748,0.933,0.947,0.7987,0.8805,0.9057,0.8696,0.942,0.942,0.8883,0.9414,0.9544,77131,,,56579,55163,1,20552,0.6336,0.0571,7:1,0.2857,0.5513,0.1074,0.1034,0.0588,0.4882,0.0134,0.1516,0.001,0.058,0.0182,0.57,0.43,710,770,730,790,32,35,0.928,0.987,0.998,0.496,,,57796,2313,10362,6660,56579
Dartmouth,2021-2022,0.0617,0.7017,0.979,0.856,0.9199,0.9343,0.7607,0.8773,0.8957,0.8571,0.9082,0.9184,0.8741,0.9294,0.9435,80757,0.047,,64588,63279,1,16169,0.619,0.0749,7.2:1,0.0989,0.5581,0.1185,0.0996,0.0533,0.496,0.0116,0.1411,0.0002,0.0612,0.0182,,,,,,,,,0.941,0.987,0.995,0.49,,,60687,1971,10881,7218,64588
